show_id,type,title,director,cast,country,year_added,release_year,rating,duration,category
60003242,Movie,"Charlie's Angels",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson","United States, Germany",2019,2000,PG-13,"98 min","Action & Adventure, Comedies"
60027726,Movie,"Charlie's Angels: Full Throttle",McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese","United States",2019,2003,PG-13,"106 min","Action & Adventure, Comedies"
81166946,"TV Show","Cheese in the Trap","Lee Yoon-jung","Park Hae-Jin, Kim Go-eun, Seo Kang-jun, Lee Sung-kyoung, Nam Joo-hyuk, Park Min-ji, Hwang Seog-jeong, Son Byung-ho, Ahn Kil-kang","South Korea",2019,2016,TV-14,"1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
81167065,"TV Show","Chicago Typewriter",,"Yoo Ah-in, Im Soo-jung, Ko Kyoung-pyo, Kwak Si-yang, Jo Woo-jin, Yang Jin-sung, Jeon Soo-kyeong, Ji Dae-han, Chun Ho-jin","South Korea",2019,2017,TV-14,"1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
81113888,"TV Show","College Romance",,"Manjot Singh, Apoorva Arora, Keshav Sadhna, Shreya Mehta, Hira Ashar, Gagan Arora",India,2019,2018,TV-MA,"1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
70023961,Movie,Crash,"Paul Haggis","Sandra Bullock, Don Cheadle, Matt Dillon, Jennifer Esposito, William Fichtner, Brendan Fraser, Terrence Howard, Ludacris, Thandie Newton, Ryan Phillippe, Larenz Tate, Nona Gaye, Michael Peña","United States, Germany",2019,2004,R,"112 min","Dramas, Independent Movies"
60027716,Movie,"Dumb and Dumberer: When Harry Met Lloyd","Troy Miller","Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmán, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy","United States",2019,2003,PG-13,"85 min",Comedies
70287957,Movie,"Earth to Echo","Dave Green","Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman","United States",2019,2014,PG,"91 min","Children & Family Movies, Sci-Fi & Fantasy"
81113890,"TV Show","Engineering Girls",,"Barkha Singh, Kritika Avasthi, Sejal Kumar",India,2019,2018,TV-14,"1 Season","International TV Shows, TV Comedies"
81168345,Movie,"Escape from the "Liberty"" Cinema"","Wojciech Marczewski","Janusz Gajos, Zbigniew Zamachowski, Teresa Marczewska, Piotr Fronczewski, Władysław Kowalski, Michał Bajor, Jan Peszek, Jerzy Bińczycki",Poland,2019,1990,TV-MA,"88 min","Comedies, Dramas, Independent Movies"
60020892,Movie,"Exit Wounds","Andrzej Bartkowiak","Steven Seagal, DMX, Isaiah Washington, Anthony Anderson, Michael Jai White, Bill Duke, Jill Hennessy, Tom Arnold, Bruce McGill, David Vadim, Eva Mendes","United States",2019,2001,R,"101 min","Action & Adventure"
81164752,Movie,"First Kiss","Roy Poortmans","Vajèn van den Bosch, Buddy Vedder, Leontine Borsato, Caroline de Bruijn, Stijn Fransen, Marije Zuurveld",Netherlands,2019,2018,TV-PG,"90 min","Dramas, International Movies, Romantic Movies"
81113886,"TV Show","Girls Hostel",,"Srishti Shrivastava, Parul Gulati, Simran Natekar, Ahsaas Channa, Shreya Mehta, Gagan Arora, Trupti Khamkar, Khushbu Baid",India,2019,2018,TV-MA,"1 Season","International TV Shows, TV Comedies, TV Dramas"
60028097,Movie,"Good Burger","Brian Robbins","Kenan Thompson, Kel Mitchell, Abe Vigoda, Dan Schneider, Shar Jackson, Jan Schweiterman, Linda Cardellini, Sinbad, Ron Lester, Josh Server, Ginny Schreiber","United States",2019,1997,PG,"96 min","Children & Family Movies, Comedies"
70065112,Movie,"Good Luck Chuck","Mark Helfrich","Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada",2019,2007,UR,"99 min","Comedies, Romantic Movies"
70083108,Movie,"Harold & Kumar Escape from Guantanamo Bay","Jon Hurwitz, Hayden Schlossberg","John Cho, Kal Penn, Rob Corddry, Jack Conley, Roger Bart, Neil Patrick Harris, Danneel Ackles, Eric Winter, Paula Garcés, Jon Reep, Missi Pyle","United States",2019,2008,R,"101 min","Comedies, Cult Movies"
70184050,Movie,"Honey 2","Bille Woodruff","Kat Graham, Mario Lopez, Audrina Patridge, Seychelle Gabriel, Randy Wayne, Brandon Molale, Melissa Molinaro, Jossara Jinaro, Lonette McKee, Laurieann Gibson, Christopher Shazar","United States",2019,2011,PG-13,"111 min","Dramas, Romantic Movies"
81168347,Movie,"Hotel Pacific","Janusz Majewski","Marek Kondrat, Roman Wilhelmi, Roman Skamene, Čestmír Řanda, Michał Pawlicki, Martin Hron, Stanisława Celińska, Joanna Kasperska, Jaroslava Schallerová","Poland,",2019,1975,TV-MA,"96 min","Classic Movies, Dramas, International Movies"
81003460,Movie,"House of the Witch","Alex Merkin","Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman","United States",2019,2017,TV-14,"86 min","Horror Movies"
81113887,"TV Show",Inmates,,"Kashyap Kapoor, Ashish Verma, Raghav Raj Kakker, Mukti Mohan, Akanksha Thakur",India,2019,2017,TV-MA,"1 Season","International TV Shows, TV Comedies"
81168348,Movie,"Jealousy and medicine","Janusz Majewski","Mariusz Dmochowski, Ewa Krzyżewska, Włodzimierz Boruński, Andrzej Mrowiec, Józef Rosiński, Piotr Kąkolewski, Beata Nowicka, Edmund Fetting, Grażyna Staniszewska, Andrzej Łapicki",Poland,2019,1973,TV-MA,"97 min","Dramas, International Movies, Romantic Movies"
